pos_L2H	w_L2H	p0_L2H	pos_H2L	w_H2L	p0_H2L	gammaC1	gammaW1	deltaE1	eta1	width1	gammaC2	gammaW2	deltaE2	eta2	width2	gamC_L	gamW_L	delE_L	eta_L	width_L	c	Vg	T	error
-8.976000e-01	3.300000e-03	0.000000e+00	-1.677000e-01	4.495000e-02	-2.676000e-03	2.230719e-06	5.388790e-02	3.414365e-01	7.800000e-01	1.445773e-02	1.173901e-05	3.545940e-02	5.594792e-01	7.800000e-01	6.554842e-03	1.611000e-08	5.373000e-03	6.000000e-01	5.800000e-01	3.222000e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.76204
-8.976000e-01	3.300000e-03	0.000000e+00	-1.677000e-01	4.495000e-02	-2.676000e-03	2.230719e-06	5.388790e-02	3.414365e-01	7.800000e-01	1.445773e-02	1.173901e-05	3.545940e-02	5.594792e-01	7.800000e-01	6.554842e-03	1.611000e-08	5.373000e-03	6.000000e-01	5.800000e-01	3.222000e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.76204
-8.976000e-01	3.300015e-03	0.000000e+00	-1.677000e-01	4.495000e-02	-2.676000e-03	2.230719e-06	5.388790e-02	3.414365e-01	7.800000e-01	1.445773e-02	1.173901e-05	3.545940e-02	5.594792e-01	7.800000e-01	6.554842e-03	1.611000e-08	5.373000e-03	6.000000e-01	5.800000e-01	3.222000e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.76204
-8.976000e-01	3.300000e-03	0.000000e+00	-1.677000e-01	4.495000e-02	-2.676000e-03	2.230719e-06	5.388790e-02	3.414365e-01	7.800000e-01	1.445773e-02	1.173901e-05	3.545940e-02	5.594792e-01	7.800000e-01	6.554842e-03	1.611000e-08	5.373000e-03	6.000000e-01	5.800000e-01	3.222000e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.76204
-8.976000e-01	3.300000e-03	0.000000e+00	-1.677000e-01	4.495001e-02	-2.676000e-03	2.230719e-06	5.388790e-02	3.414365e-01	7.800000e-01	1.445773e-02	1.173901e-05	3.545940e-02	5.594792e-01	7.800000e-01	6.554842e-03	1.611000e-08	5.373000e-03	6.000000e-01	5.800000e-01	3.222000e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.76204
-8.976000e-01	3.300000e-03	0.000000e+00	-1.677000e-01	4.495000e-02	-2.676015e-03	2.230719e-06	5.388790e-02	3.414365e-01	7.800000e-01	1.445773e-02	1.173901e-05	3.545940e-02	5.594792e-01	7.800000e-01	6.554842e-03	1.611000e-08	5.373000e-03	6.000000e-01	5.800000e-01	3.222000e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.76204
-8.976000e-01	3.300000e-03	0.000000e+00	-1.677000e-01	4.495000e-02	-2.676000e-03	2.245620e-06	5.388790e-02	3.414365e-01	7.800000e-01	1.445773e-02	1.173901e-05	3.545940e-02	5.594792e-01	7.800000e-01	6.554842e-03	1.611000e-08	5.373000e-03	6.000000e-01	5.800000e-01	3.222000e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.76207
-8.976000e-01	3.300000e-03	0.000000e+00	-1.677000e-01	4.495000e-02	-2.676000e-03	2.230719e-06	5.388791e-02	3.414365e-01	7.800000e-01	1.445773e-02	1.173901e-05	3.545940e-02	5.594792e-01	7.800000e-01	6.554842e-03	1.611000e-08	5.373000e-03	6.000000e-01	5.800000e-01	3.222000e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.76204
-8.976000e-01	3.300000e-03	0.000000e+00	-1.677000e-01	4.495000e-02	-2.676000e-03	2.230719e-06	5.388790e-02	3.414365e-01	7.800000e-01	1.445773e-02	1.173901e-05	3.545940e-02	5.594792e-01	7.800000e-01	6.554842e-03	1.611000e-08	5.373000e-03	6.000000e-01	5.800000e-01	3.222000e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.76204
-8.976000e-01	3.300000e-03	0.000000e+00	-1.677000e-01	4.495000e-02	-2.676000e-03	2.230719e-06	5.388790e-02	3.414365e-01	7.800000e-01	1.445773e-02	1.173901e-05	3.545940e-02	5.594792e-01	7.800000e-01	6.554842e-03	1.611000e-08	5.373000e-03	6.000000e-01	5.800000e-01	3.222000e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.76204
-8.976000e-01	3.300000e-03	0.000000e+00	-1.677000e-01	4.495000e-02	-2.676000e-03	2.230719e-06	5.388790e-02	3.414365e-01	7.800000e-01	1.445774e-02	1.173901e-05	3.545940e-02	5.594792e-01	7.800000e-01	6.554842e-03	1.611000e-08	5.373000e-03	6.000000e-01	5.800000e-01	3.222000e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.76204
